state,Year,Quater,categories,type,count,amount
andaman-&-nicobar-islands,2021,Q1,Recharge & bill payments,TOTAL,84119,37160922.86506996
andaman-&-nicobar-islands,2021,Q1,Merchant payments,TOTAL,53090,78606979.05751458
andaman-&-nicobar-islands,2021,Q1,Financial Services,TOTAL,884,1469351.0852598653
andaman-&-nicobar-islands,2021,Q1,Others,TOTAL,1201,1077918.666433228
andaman-&-nicobar-islands,2021,Q2,Peer-to-peer payments,TOTAL,132772,748382044.7707307
andaman-&-nicobar-islands,2021,Q2,Recharge & bill payments,TOTAL,120911,43691961.26275121
andaman-&-nicobar-islands,2021,Q2,Merchant payments,TOTAL,85143,103707408.50908464
andaman-&-nicobar-islands,2021,Q2,Financial Services,TOTAL,960,2038521.5136710336
andaman-&-nicobar-islands,2021,Q2,Others,TOTAL,1628,1327080.0560584562
andaman-&-nicobar-islands,2021,Q3,Peer-to-peer payments,TOTAL,192321,1077787837.1562996
andaman-&-nicobar-islands,2021,Q3,Recharge & bill payments,TOTAL,136010,51243450.85925055
andaman-&-nicobar-islands,2021,Q3,Merchant payments,TOTAL,118340,176991328.21761328
andaman-&-nicobar-islands,2021,Q3,Financial Services,TOTAL,990,2351013.441729573
andaman-&-nicobar-islands,2021,Q3,Others,TOTAL,2103,1650766.1267105162
andaman-&-nicobar-islands,2021,Q4,Peer-to-peer payments,TOTAL,285778,1544932663.2744582
andaman-&-nicobar-islands,2021,Q4,Merchant payments,TOTAL,210164,322842314.62433755
andaman-&-nicobar-islands,2021,Q4,Recharge & bill payments,TOTAL,135608,59243518.11464358
andaman-&-nicobar-islands,2021,Q4,Financial Services,TOTAL,1718,3137965.167474068
andaman-&-nicobar-islands,2021,Q4,Others,TOTAL,2855,2453640.142743944
andaman-&-nicobar-islands,2022,Q1,Peer-to-peer payments,TOTAL,342649,1682328505.7254477
andaman-&-nicobar-islands,2022,Q1,Merchant payments,TOTAL,284298,370091558.68373305
andaman-&-nicobar-islands,2022,Q1,Recharge & bill payments,TOTAL,163401,71300133.66101266
andaman-&-nicobar-islands,2022,Q1,Financial Services,TOTAL,1757,2869682.022951186
andaman-&-nicobar-islands,2022,Q1,Others,TOTAL,2643,2440321.9820225406
andaman-&-nicobar-islands,2022,Q2,Merchant payments,TOTAL,449540,510838980.9061847
