year,Quater,state,registered_users
2022,Q1,karnataka,31200349
2022,Q1,andhra pradesh,23857951
2022,Q1,rajasthan,23398857
2022,Q1,telangana,22150612
2022,Q1,west bengal,21919787
2022,Q1,tamil nadu,21667020
2022,Q1,madhya pradesh,19656147
2022,Q1,gujarat,19265314
2022,Q2,maharashtra,50802786
2022,Q2,uttar pradesh,41247289
2022,Q2,karnataka,32831447
2022,Q2,andhra pradesh,25157264
2022,Q2,rajasthan,24716181
2022,Q2,telangana,23314363
2022,Q2,west bengal,23124388
2022,Q2,tamil nadu,22829720
2022,Q2,madhya pradesh,20766417
2022,Q2,gujarat,20321596
2022,Q3,maharashtra,53432602
2022,Q3,uttar pradesh,43537920
2022,Q3,karnataka,34493994
2022,Q3,andhra pradesh,26496330
2022,Q3,rajasthan,26042948
2022,Q3,telangana,24506111
2022,Q3,west bengal,24372048
2022,Q3,tamil nadu,24019964
2022,Q3,madhya pradesh,21884220
2022,Q3,gujarat,21394721
2022,Q4,maharashtra,55954028
2022,Q4,uttar pradesh,45648650
2022,Q4,karnataka,36081698
2022,Q4,andhra pradesh,27778016
2022,Q4,rajasthan,27255927
2022,Q4,telangana,25656381
2022,Q4,west bengal,25536381
2022,Q4,tamil nadu,25136112
2022,Q4,madhya pradesh,22913924
2022,Q4,gujarat,22412353
2023,Q1,maharashtra,58470784
2023,Q1,uttar pradesh,47806049
2023,Q1,karnataka,37681426
2023,Q1,andhra pradesh,29065863
2023,Q1,rajasthan,28523031
2023,Q1,telangana,26804259
2023,Q1,west bengal,26732895
2023,Q1,tamil nadu,26270663
2023,Q1,madhya pradesh,24002818
2023,Q1,gujarat,23436230
2023,Q2,maharashtra,60766850
2023,Q2,uttar pradesh,49829833
2023,Q2,karnataka,39122314
2023,Q2,andhra pradesh,30240061
2023,Q2,rajasthan,29745609
2023,Q2,west bengal,27827662
2023,Q2,telangana,27814633
2023,Q2,tamil nadu,27317599
2023,Q2,madhya pradesh,25042930
2023,Q2,gujarat,24396768
